"publisherName","game","gameName"
"Capcom","http://dbpedia.org/resource/Darkwing_Duck_(Capcom_video_game)","Darkwing Duck (Capcom video game)"
"Capcom","http://dbpedia.org/resource/Dead_Rising_(video_game)","Dead Rising (video game)"
"Capcom","http://dbpedia.org/resource/Dead_Rising_2","Dead Rising 2"
"Capcom","http://dbpedia.org/resource/Dead_Rising_2:_Off_the_Record","Dead Rising 2: Off the Record"
"Capcom","http://dbpedia.org/resource/Dead_Rising:_Chop_Till_You_Drop","Dead Rising: Chop Till You Drop"
"Capcom","http://dbpedia.org/resource/Deep_Down_(video_game)","Deep Down (video game)"
"Capcom","http://dbpedia.org/resource/Demon's_Crest","Demon's Crest"
"Capcom","http://dbpedia.org/resource/Destiny_of_an_Emperor","Destiny of an Emperor"
"Capcom","http://dbpedia.org/resource/Devil_Kings","Devil Kings"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_(video_game)","Devil May Cry (video game)"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_2","Devil May Cry 2"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_3:_Dante's_Awakening","Devil May Cry 3: Dante's Awakening"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_4","Devil May Cry 4"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_4:_Special_Edition","Devil May Cry 4: Special Edition"
"Capcom","http://dbpedia.org/resource/Devil_May_Cry_5","Devil May Cry 5"
"Capcom","http://dbpedia.org/resource/Dimahoo","Dimahoo"
"Capcom","http://dbpedia.org/resource/Dino_Crisis_(video_game)","Dino Crisis (video game)"
"Capcom","http://dbpedia.org/resource/Dino_Crisis_2","Dino Crisis 2"
"Capcom","http://dbpedia.org/resource/Dino_Crisis_3","Dino Crisis 3"
"Capcom","http://dbpedia.org/resource/Dino_Stalker","Dino Stalker"
"Capcom","http://dbpedia.org/resource/Disney's_Aladdin_(Capcom_video_game)","Disney's Aladdin (Capcom video game)"
"Capcom","http://dbpedia.org/resource/Disney's_Hide_and_Sneak","Disney's Hide and Sneak"
"Capcom","http://dbpedia.org/resource/Disney's_Magical_Quest","Disney's Magical Quest"
"Capcom","http://dbpedia.org/resource/DmC:_Devil_May_Cry","DmC: Devil May Cry"
"Capcom","http://dbpedia.org/resource/Dragon's_Dogma","Dragon's Dogma"
"Capcom","http://dbpedia.org/resource/Dragon's_Dogma_Online","Dragon's Dogma Online"
"Capcom","http://dbpedia.org/resource/DuckTales_(video_game)","DuckTales (video game)"
"Capcom","http://dbpedia.org/resource/DuckTales_2","DuckTales 2"
"Capcom","http://dbpedia.org/resource/DuckTales:_Remastered","DuckTales: Remastered"
"Capcom","http://dbpedia.org/resource/Dungeons_&_Dragons:_Tower_of_Doom","Dungeons & Dragons: Tower of Doom"
"Capcom","http://dbpedia.org/resource/Dungeons_&_Dragons:_Chronicles_of_Mystara","Dungeons & Dragons: Chronicles of Mystara"
"Capcom","http://dbpedia.org/resource/Dungeons_&_Dragons:_Shadow_over_Mystara","Dungeons & Dragons: Shadow over Mystara"
"Capcom","http://dbpedia.org/resource/Dustforce","Dustforce"
"Capcom","http://dbpedia.org/resource/Dynasty_Wars","Dynasty Wars"
"Capcom","http://dbpedia.org/resource/E.X._Troopers","E.X. Troopers"
"Capcom","http://dbpedia.org/resource/Eco_Fighters","Eco Fighters"
"Capcom","http://dbpedia.org/resource/El_Dorado_Gate","El Dorado Gate"
"Capcom","http://dbpedia.org/resource/Everblue","Everblue"
"Capcom","http://dbpedia.org/resource/Everblue_2","Everblue 2"
"Capcom","http://dbpedia.org/resource/Exoprimal","Exoprimal"
"Capcom","http://dbpedia.org/resource/Eye_of_the_Beholder_II:_The_Legend_of_Darkmoon","Eye of the Beholder II: The Legend of Darkmoon"
"Capcom","http://dbpedia.org/resource/Fate/tiger_colosseum","Fate/tiger colosseum"
"Capcom","http://dbpedia.org/resource/Fate/unlimited_codes","Fate/unlimited codes"
"Capcom","http://dbpedia.org/resource/Final_Fight_2","Final Fight 2"
"Capcom","http://dbpedia.org/resource/Final_Fight_3","Final Fight 3"
"Capcom","http://dbpedia.org/resource/Final_Fight_Revenge","Final Fight Revenge"
"Capcom","http://dbpedia.org/resource/Final_Fight:_Streetwise","Final Fight: Streetwise"
"Capcom","http://dbpedia.org/resource/Finder_Love","Finder Love"
"Capcom","http://dbpedia.org/resource/Flock!","Flock!"
"Capcom","http://dbpedia.org/resource/Forgotten_Worlds","Forgotten Worlds"
"Capcom","http://dbpedia.org/resource/Fox_Hunt_(video_game)","Fox Hunt (video game)"
"Capcom","http://dbpedia.org/resource/G.I._Joe:_The_Atlantis_Factor","G.I. Joe: The Atlantis Factor"
"Capcom","http://dbpedia.org/resource/Gargoyle's_Quest","Gargoyle's Quest"
"Capcom","http://dbpedia.org/resource/Gargoyle's_Quest_II","Gargoyle's Quest II"
"Capcom","http://dbpedia.org/resource/Ghost_Trick:_Phantom_Detective","Ghost Trick: Phantom Detective"
"Capcom","http://dbpedia.org/resource/Ghosts_'n_Goblins_Resurrection","Ghosts 'n Goblins Resurrection"
"Capcom","http://dbpedia.org/resource/Ghosts_'n_Goblins:_Gold_Knights","Ghosts 'n Goblins: Gold Knights"
"Capcom","http://dbpedia.org/resource/Ghouls_'n_Ghosts","Ghouls 'n Ghosts"
"Capcom","http://dbpedia.org/resource/Giga_Wing","Giga Wing"
"Capcom","http://dbpedia.org/resource/Giga_Wing_2","Giga Wing 2"
"Capcom","http://dbpedia.org/resource/GioGio's_Bizarre_Adventure","GioGio's Bizarre Adventure"
"Capcom","http://dbpedia.org/resource/Glass_Rose","Glass Rose"
"Capcom","http://dbpedia.org/resource/God_Hand","God Hand"
"Capcom","http://dbpedia.org/resource/Goof_Troop_(video_game)","Goof Troop (video game)"
"Capcom","http://dbpedia.org/resource/Gotcha_Force","Gotcha Force"
"Capcom","http://dbpedia.org/resource/Gregory_Horror_Show_(video_game)","Gregory Horror Show (video game)"
"Capcom","http://dbpedia.org/resource/Gunbird_2","Gunbird 2"
"Capcom","http://dbpedia.org/resource/Harvey_Birdman:_Attorney_at_Law_(video_game)","Harvey Birdman: Attorney at Law (video game)"
"Capcom","http://dbpedia.org/resource/Haunting_Ground","Haunting Ground"
"Capcom","http://dbpedia.org/resource/Heavy_Metal:_Geomatrix","Heavy Metal: Geomatrix"
"Capcom","http://dbpedia.org/resource/Higemaru_Makaijima_-_Nanatsu_no_Shima_Daibōken","Higemaru Makaijima - Nanatsu no Shima Daibōken"
"Capcom","http://dbpedia.org/resource/Hyper_Street_Fighter_II","Hyper Street Fighter II"
"Capcom","http://dbpedia.org/resource/JoJo's_Bizarre_Adventure_(video_game)","JoJo's Bizarre Adventure (video game)"
"Capcom","http://dbpedia.org/resource/Kabu_Trader_Shun","Kabu Trader Shun"
"Capcom","http://dbpedia.org/resource/Knights_of_the_Round_(video_game)","Knights of the Round (video game)"
"Capcom","http://dbpedia.org/resource/Last_Duel_(video_game)","Last Duel (video game)"
"Capcom","http://dbpedia.org/resource/Last_Ranker","Last Ranker"
"Capcom","http://dbpedia.org/resource/Legendary_Wings","Legendary Wings"
