"game","name","releaseDate","developer","publisher","platform","genre","series","countryOfOrigin","mainSubject","officialWebsite","designer","composer","character","gameMode"
"http://dbpedia.org/resource/RollerCoaster_Tycoon_2","RollerCoaster Tycoon 2",2002-10-15,"http://dbpedia.org/resource/Chris_Sawyer","http://dbpedia.org/resource/Atari_Interactive","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Construction_and_management_simulation","http://dbpedia.org/resource/RollerCoaster_Tycoon",,,"http://www.rollercoastertycoon.com/rollercoaster-tycoon-2-triple-thrill-pack/","http://dbpedia.org/resource/Chris_Sawyer","http://dbpedia.org/resource/Allister_Brimble",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Xbox_One","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/PlayStation_Vita","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Nintendo_Switch","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Super_Nintendo_Entertainment_System","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Android_(operating_system)","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/I-mode","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Au_(mobile_phone_company)","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
"http://dbpedia.org/resource/Romancing_SaGa_2","Romancing SaGa 2",1993-12-10,"http://dbpedia.org/resource/Square_(video_game_company)","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Role-playing_video_game","http://dbpedia.org/resource/SaGa",,,"http://www.square-enix.co.jp/mobile/sem/romasaga2/","http://dbpedia.org/resource/Akitoshi_Kawazu","http://dbpedia.org/resource/Kenji_Ito",,
